transaction_id,date,country,region,customer_name,customer_type,sales_rep,product_category,product,quantity,unit_price,unit_cost,revenue,cost,gross_profit,payment_status,sales_channel
TXN-000001,2024-03-06,Uganda,Uganda,Customer 017,SME,Rep 01,Fiber Equipment,Optical Transceiver,5,198.7,126.8,993.5,634.0,359.5,Pending,Direct
TXN-000002,2024-11-25,Uganda,Uganda,Customer 023,ISP,Rep 07,Switches,Managed Switch,6,864.15,559.95,5184.9,3359.7,1825.2,Paid,Partner
TXN-000003,2024-09-25,Kenya,Kenya,Customer 064,Enterprise,Rep 02,Services,Network Support,2,1571.04,496.86,3142.08,993.72,2148.36,Pending,Partner
TXN-000004,2024-03-12,Rwanda,Rwanda,Customer 072,SME,Rep 03,Switches,Managed Switch,3,1019.47,589.56,3058.41,1768.68,1289.73,Paid,Partner
TXN-000005,2025-02-10,Uganda,Uganda,Customer 001,ISP,Rep 10,Firewalls,Enterprise Firewall,7,4715.26,2981.02,33006.82,20867.14,12139.68,Paid,Online
TXN-000006,2024-06-05,Kenya,Kenya,Customer 023,ISP,Rep 08,Fiber Equipment,Fiber OLT,6,3438.99,2493.41,20633.94,14960.46,5673.48,Paid,Direct
TXN-000007,2025-06-12,Uganda,Uganda,Customer 056,ISP,Rep 04,Firewalls,Enterprise Firewall,4,4815.0,3138.57,19260.0,12554.28,6705.72,Paid,Direct
TXN-000008,2025-10-26,South Sudan,South Sudan,Customer 058,SME,Rep 09,Switches,Managed Switch,3,897.29,568.75,2691.87,1706.25,985.62,Paid,Online
TXN-000009,2025-02-27,Tanzania,Tanzania,Customer 035,Government,Rep 02,Wireless,Wireless Access Point,3,381.85,249.85,1145.55,749.55,396.0,Paid,Direct
TXN-000010,2024-08-29,Uganda,Uganda,Customer 075,ISP,Rep 05,Switches,Managed Switch,2,1055.34,578.97,2110.68,1157.94,952.74,Paid,Direct
TXN-000011,2025-07-26,Uganda,Uganda,Customer 046,SME,Rep 01,Routers,Carrier Router,3,5880.91,4337.04,17642.73,13011.12,4631.61,Paid,Partner
TXN-000012,2025-10-17,Kenya,Kenya,Customer 023,Government,Rep 04,Routers,Carrier Router,5,6643.44,4145.79,33217.2,20728.95,12488.25,Pending,Direct
TXN-000013,2025-08-29,South Sudan,South Sudan,Customer 042,Enterprise,Rep 02,Wireless,Wireless Access Point,2,418.2,262.31,836.4,524.62,311.78,Paid,Online
TXN-000014,2025-10-13,Rwanda,Rwanda,Customer 026,Enterprise,Rep 01,Firewalls,Enterprise Firewall,4,5751.71,2922.29,23006.84,11689.16,11317.68,Pending,Direct
TXN-000015,2024-03-30,Kenya,Kenya,Customer 001,Enterprise,Rep 09,Fiber Equipment,Optical Transceiver,4,162.55,121.62,650.2,486.48,163.72,Paid,Partner
TXN-000016,2025-12-09,Uganda,Uganda,Customer 034,Government,Rep 02,Routers,Carrier Router,4,7176.41,4156.98,28705.64,16627.92,12077.72,Paid,Direct
TXN-000017,2025-01-06,South Sudan,South Sudan,Customer 040,Enterprise,Rep 01,Wireless,Wireless Access Point,3,416.73,261.66,1250.19,784.98,465.21,Paid,Online
TXN-000018,2025-06-23,Uganda,Uganda,Customer 001,SME,Rep 10,Fiber Equipment,Fiber OLT,3,3863.72,2627.56,11591.16,7882.68,3708.48,Paid,Direct
TXN-000019,2025-09-26,Kenya,Kenya,Customer 053,Enterprise,Rep 04,Routers,Carrier Router,5,5945.18,4239.66,29725.9,21198.3,8527.6,Pending,Direct
TXN-000020,2024-04-16,Kenya,Kenya,Customer 014,SME,Rep 02,Wireless,Wireless Access Point,1,379.95,238.88,379.95,238.88,141.07,Paid,Partner
TXN-000021,2024-05-07,Tanzania,Tanzania,Customer 026,Enterprise,Rep 07,Fiber Equipment,Fiber OLT,3,3617.92,2534.84,10853.76,7604.52,3249.24,Paid,Direct
TXN-000022,2025-02-21,Kenya,Kenya,Customer 009,Enterprise,Rep 03,Services,Network Support,2,1628.38,520.13,3256.76,1040.26,2216.5,Pending,Partner
